seeds,rmse_train,acc_train,rmse_valid,acc_valid,rmse_test,acc_test
24,0.32131005005679175,0.7673710601719198,0.4463641571968481,0.6856196275071633,0.45767762502076276,0.6823961318051576
3,0.2914595003961931,0.7895176695319962,0.443278121833637,0.6946633237822349,0.4392500846005559,0.6883954154727794
123,0.269508979274405,0.8054560649474689,0.44356066824095064,0.6958273638968482,0.4349267904246865,0.6993194842406877
7,0.29939520928942764,0.7822349570200573,0.4399865104751898,0.6880372492836676,0.44188495324433874,0.6852614613180515
666,0.2898124773527674,0.7913383476599809,0.4411733241575992,0.6943051575931232,0.4371186210710677,0.698871776504298
5,0.28179312077333685,0.7970391595033429,0.44070664333071485,0.6923352435530086,0.43234531889925565,0.6995881088825215
10,0.28336765802273534,0.791248806112703,0.4446573458287871,0.6940365329512894,0.435803444488765,0.6959169054441261
1993,0.28394492886447426,0.7933978032473734,0.43619222681561026,0.6997671919770774,0.4361156136290402,0.6942156160458453
13,0.27770242645861803,0.7990687679083095,0.4365567746830732,0.6953796561604585,0.4363038842526551,0.6934992836676218
12,0.29017155854041615,0.7893982808022922,0.4386040789545298,0.6977077363896849,0.448349641822445,0.6890222063037249
